time_stamp,event_name,event_type,conducted_by,rating,feedback_comment,sentiment_score,sentiment_label
08-02-2025 11:05,Sports Meet,Technical,Computer Science,3,"Nothing special, but okay.",-0.3875,Negative
27-02-2025 11:05,Sports Meet,Cultural,Mechanical,1,Poorly managed event.,0,Neutral
16-09-2024 11:05,Guest Lecture,Cultural,Electronics,4,Would love to attend again.,0.6369,Positive
22-02-2025 11:05,Seminar,Sports,Computer Science,1,Poorly managed event.,0,Neutral
11-05-2025 11:05,Cultural Fest,Workshop,Electronics,1,The event was too long.,0,Neutral
29-10-2024 11:05,Guest Lecture,Cultural,Management,2,Speakers were boring.,-0.3182,Negative
06-07-2025 11:05,Seminar,Workshop,Electronics,5,Great networking opportunity.,0.7845,Positive
21-05-2025 11:05,Seminar,Technical,Computer Science,1,Content was not very relevant.,0,Neutral
18-01-2025 11:05,Hackathon,Sports,Mechanical,2,Speakers were boring.,-0.3182,Negative
10-05-2025 11:05,Sports Meet,Sports,Computer Science,3,It was an average experience.,0,Neutral
25-12-2024 11:05,Cultural Fest,Workshop,Civil,4,Speakers were very knowledgeable.,0,Neutral
27-11-2024 11:05,Workshop,Sports,Civil,4,Great networking opportunity.,0.7845,Positive
27-11-2024 11:05,Hackathon,Academic,Management,1,Could be better organized.,0.4404,Positive
30-06-2025 11:05,Tech Talk,Workshop,Humanities,4,Loved the hands-on activities!,0.636,Positive
08-06-2025 11:05,Tech Talk,Cultural,Mechanical,2,Speakers were boring.,-0.3182,Negative
16-06-2025 11:05,Guest Lecture,Cultural,Computer Science,1,Poorly managed event.,0,Neutral
28-03-2025 11:05,Sports Meet,Sports,Civil,4,Would love to attend again.,0.6369,Positive
17-05-2025 11:05,Cultural Fest,Cultural,Management,5,Very informative and engaging.,0.3947,Positive
05-02-2025 11:05,Sports Meet,Workshop,Computer Science,2,I did not enjoy the event.,-0.3875,Negative
01-02-2025 11:05,Seminar,Cultural,Mechanical,5,Speakers were very knowledgeable.,0,Neutral
21-09-2024 11:05,Guest Lecture,Cultural,Civil,5,"Great event, learned a lot!",0.6588,Positive
15-02-2025 11:05,Guest Lecture,Academic,Management,5,Great networking opportunity.,0.7845,Positive
15-07-2025 11:05,Hackathon,Workshop,Humanities,4,Would love to attend again.,0.6369,Positive
12-06-2025 11:05,Workshop,Sports,Mechanical,4,Great networking opportunity.,0.7845,Positive
26-10-2024 11:05,Seminar,Workshop,Management,2,Content was not very relevant.,0,Neutral
07-11-2024 11:05,Workshop,Technical,Humanities,5,Great networking opportunity.,0.7845,Positive
16-03-2025 11:05,Guest Lecture,Sports,Management,2,Poorly managed event.,0,Neutral
08-03-2025 11:05,Tech Talk,Academic,Computer Science,5,"Great event, learned a lot!",0.6588,Positive
22-01-2025 11:05,Workshop,Technical,Computer Science,4,Great networking opportunity.,0.7845,Positive
04-08-2025 11:05,Seminar,Cultural,Electronics,2,Speakers were boring.,-0.3182,Negative
17-03-2025 11:05,Guest Lecture,Academic,Computer Science,5,Would love to attend again.,0.6369,Positive
08-04-2025 11:05,Workshop,Workshop,Electronics,4,Would love to attend again.,0.6369,Positive
27-06-2025 11:05,Tech Talk,Technical,Mechanical,1,I did not enjoy the event.,-0.3875,Negative
08-06-2025 11:05,Guest Lecture,Academic,Humanities,4,Great networking opportunity.,0.7845,Positive
01-02-2025 11:05,Seminar,Technical,Mechanical,2,Speakers were boring.,-0.3182,Negative
23-10-2024 11:05,Hackathon,Technical,Civil,2,Poorly managed event.,0,Neutral
13-09-2024 11:05,Seminar,Sports,Management,1,Could be better organized.,0.4404,Positive
23-04-2025 11:05,Seminar,Sports,Management,5,Great networking opportunity.,0.7845,Positive
27-02-2025 11:05,Cultural Fest,Academic,Civil,3,It was an average experience.,0,Neutral
20-09-2024 11:05,Sports Meet,Technical,Computer Science,5,Would love to attend again.,0.6369,Positive
17-06-2025 11:05,Cultural Fest,Sports,Electronics,3,It was an average experience.,0,Neutral
13-04-2025 11:05,Tech Talk,Academic,Mechanical,3,"Nothing special, but okay.",-0.3875,Negative
